Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e271e1cf97302aa44a6855,647e0f22b1d466181ae694c4,APPROVED,Not Applicable,2025-10-05T13:25:58.723000Z,2025-10-05T13:28:52.079000Z,2025-10-05T13:28:54.144000Z,2025-10-05T13:28:54.606293Z,174.0,C4H367G4,4927,61,Female,Asian,China,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
68e27261f1fe991b55040ae5,65f5cbcd2324b8dd6f3ff42d,APPROVED,Not Applicable,2025-10-05T13:28:04.887000Z,2025-10-05T13:29:22.400000Z,2025-10-05T13:29:25.672000Z,2025-10-05T13:29:29.605726Z,78.0,C4H367G4,2878,20,Female,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
68e2726818e54b6e35466ab7,677ef42cdcee10c2f02a1441,APPROVED,Not Applicable,2025-10-05T13:28:20.938000Z,2025-10-05T13:30:05.546000Z,2025-10-05T13:30:08.149000Z,2025-10-05T13:30:06.400803Z,105.0,C4H367G4,2969,41,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
68e27271017794e22bf267e7,680c0636408121caf12fe0d1,APPROVED,Not Applicable,2025-10-05T13:28:17.584000Z,2025-10-05T13:31:16.368000Z,2025-10-05T13:31:17.397000Z,2025-10-05T13:31:22.629833Z,179.0,C4H367G4,3505,62,Female,Black,United States,United States,United States,English,Yes,Full-Time
68e273f8f400869ba4482ecd,675758f40df8b09c8aa98ad0,APPROVED,Not Applicable,2025-10-05T13:34:54.386000Z,2025-10-05T13:37:49.777000Z,2025-10-05T13:37:50.749000Z,2025-10-05T13:37:51.161734Z,176.0,C4H367G4,758,72,Male,Asian,United States,United States,United States,English,No,Other
68e2748f1c82a71c9881f94c,6676de84b74db82737117749,APPROVED,Not Applicable,2025-10-05T13:37:25.888000Z,2025-10-05T13:38:57.438000Z,2025-10-05T13:38:59.472000Z,2025-10-05T13:38:58.247980Z,92.0,C4H367G4,1256,70,Male,White,Brazil,United States,United States,Portuguese,DATA_EXPIRED,DATA_EXPIRED
68e274bb99676893a0cdb8c7,5dd1964987c1fd2082c4d88e,APPROVED,Not Applicable,2025-10-05T13:38:10.414000Z,2025-10-05T13:40:47.262000Z,2025-10-05T13:40:48.193000Z,2025-10-05T13:40:48.055375Z,157.0,C4H367G4,2443,52,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e274ecc4d66b7ba7a573be,68c2df0a0e9cd5c4da42ca55,APPROVED,Not Applicable,2025-10-05T13:38:57.654000Z,2025-10-05T13:39:52.876000Z,2025-10-05T13:39:53.821000Z,2025-10-05T13:39:53.662870Z,56.0,C4H367G4,232,42,Male,Mixed,United States,United States,United States,English,No,Full-Time
68e2754a1536ada6593b1bc1,668335c061a6ee98717d3ffa,APPROVED,Not Applicable,2025-10-05T13:40:35.641000Z,2025-10-05T13:43:26.357000Z,2025-10-05T13:43:27.214000Z,2025-10-05T13:43:27.077529Z,171.0,C4H367G4,1072,34,Male,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
68e2757a7e1a177438703b2b,662aa1095c1c5061a0121a13,APPROVED,Not Applicable,2025-10-05T13:41:21.574000Z,2025-10-05T13:42:19.533000Z,2025-10-05T13:42:23.168000Z,2025-10-05T13:42:24.935398Z,58.0,C4H367G4,2209,40,Male,Mixed,Pakistan,United States,United States,English,No,Full-Time
